Date,State,Deaths,ICU Hospitalizations,Positive Viral Cases,Positive Increase,Total Test Results,Test Increase
2021-03-07,NY,59,999.0,0,6789,39695100,227768
2021-03-07,CA,258,1159.0,3501394,3816,49646014,133186
2021-03-06,NY,79,1012.0,0,7647,39467332,273132
2021-03-06,CA,418,1221.0,3497578,4452,49512828,218325
2021-03-05,NY,95,1030.0,0,8956,39194200,296935
2021-03-05,CA,400,1236.0,3493126,4659,49294503,146818
2021-03-04,NY,61,1043.0,0,7593,38897265,270089
2021-03-04,CA,273,1327.0,3488467,3504,49147685,119637
2021-03-03,NY,75,1047.0,0,7704,38627176,218069
2021-03-03,CA,278,1403.0,3484963,3352,49028048,130858
2021-03-02,NY,83,1076.0,0,5800,38409107,128034
2021-03-02,CA,303,1452.0,3481611,2533,48897190,184514
2021-03-01,NY,80,1065.0,0,6235,38281073,174158
2021-03-01,CA,215,1518.0,3479078,3516,48712676,243570
2021-02-28,NY,90,1083.0,0,7580,38106915,273720
2021-02-28,CA,158,1585.0,3475562,4685,48469106,249616
2021-02-27,NY,86,1121.0,0,8141,37833195,285307
2021-02-27,CA,439,1651.0,3470877,5151,48219490,223914
2021-02-26,NY,94,1132.0,0,8204,37547888,291189
2021-02-26,CA,391,1725.0,3465726,5400,47995576,181416
2021-02-25,NY,92,1124.0,0,8746,37256699,278942
2021-02-25,CA,1114,1783.0,3460326,4965,47814160,161988
2021-02-24,NY,104,1154.0,0,6189,36977757,216813
2021-02-24,CA,314,1842.0,3455361,5303,47652172,138805
2021-02-23,NY,90,1176.0,0,6654,36760944,157333
2021-02-23,CA,225,1898.0,3450058,3447,47513367,192565
2021-02-22,NY,90,1148.0,0,6146,36603611,142019
2021-02-22,CA,233,2010.0,3446611,4665,47320802,277454
2021-02-21,NY,75,1162.0,0,6610,36461592,221157
2021-02-21,CA,280,2073.0,3441946,6760,47043348,229472
2021-02-20,NY,101,1162.0,0,7692,36240435,251645
2021-02-20,CA,481,2168.0,3435186,6668,46813876,192222
2021-02-19,NY,119,1199.0,0,8710,35988790,249248
2021-02-19,CA,420,2291.0,3428518,6798,46621654,117399
2021-02-18,NY,116,1258.0,0,6794,35739542,215731
2021-02-18,CA,417,2427.0,3421720,5573,46504255,119323
2021-02-17,NY,112,1273.0,0,6092,35523811,169963
2021-02-17,CA,400,2533.0,3416147,4090,46384932,157207
2021-02-16,NY,107,1271.0,0,6753,35353848,136392
2021-02-16,CA,64,2604.0,3412057,5692,46227725,263598
2021-02-15,NY,103,1270.0,0,6365,35217456,180504
2021-02-15,CA,200,2650.0,3406365,6487,45964127,260910
2021-02-14,NY,109,1285.0,0,8316,35036952,234708
2021-02-14,CA,408,2733.0,3399878,8842,45703217,291580
2021-02-13,NY,127,1328.0,0,8763,34802244,253563
2021-02-13,CA,433,2808.0,3391036,9421,45411637,286196
2021-02-12,NY,139,1358.0,0,8404,34548681,237134
2021-02-12,CA,546,2930.0,3381615,10059,45125441,201460
2021-02-11,NY,124,1402.0,0,10099,34311547,285499
2021-02-11,CA,461,2996.0,3371556,8575,44923981,153380
2021-02-10,NY,138,1423.0,0,7101,34026048,176750
2021-02-10,CA,518,3127.0,3362981,8390,44770601,187297
2021-02-09,NY,142,1412.0,0,7866,33849298,153648
2021-02-09,CA,327,3264.0,3354591,8251,44583304,259754
2021-02-08,NY,115,1454.0,0,8448,33695650,197183
2021-02-08,CA,208,3313.0,3346340,10414,44323550,329228
2021-02-07,NY,145,1459.0,0,10025,33498467,250892
2021-02-07,CA,295,3339.0,3335926,15064,43994322,275167
2021-02-06,NY,159,1481.0,0,11252,33247575,261285
2021-02-06,CA,623,3479.0,3320862,12394,43719155,286051
2021-02-05,NY,153,1516.0,0,8777,32986290,203627
2021-02-05,CA,558,3527.0,3308468,14021,43433104,197777
2021-02-04,NY,136,1506.0,0,7414,32782663,169186
2021-02-04,CA,655,3756.0,3294447,13176,43235327,168094
2021-02-03,NY,165,1522.0,0,5925,32613477,126489
2021-02-03,CA,481,3772.0,3281271,10501,43067233,215342
2021-02-02,NY,147,1503.0,0,8215,32486988,150199
2021-02-02,CA,422,3894.0,3270770,12064,42851891,282698
2021-02-01,NY,141,1500.0,0,8508,32336789,175038
2021-02-01,CA,211,3949.0,3258706,15358,42569193,290175
2021-01-31,NY,142,1534.0,0,10793,32161751,243066
2021-01-31,CA,481,4047.0,3243348,18974,42279018,298562
2021-01-30,NY,143,1551.0,0,12804,31918685,269350
2021-01-30,CA,638,4042.0,3224374,18427,41980456,303051
2021-01-29,NY,151,1543.0,0,12579,31649335,270518
2021-01-29,CA,617,4232.0,3205947,19337,41677405,206771
2021-01-28,NY,163,1584.0,0,13398,31378817,250668
2021-01-28,CA,737,4283.0,3186610,16696,41470634,218152
2021-01-27,NY,172,1558.0,0,11028,31128149,202661
