,date,state,deaths,Icu hospitalized,positive cases viral,positive increase,test results total,test increase
0,2021-03-07,CA,258,1159.0,3501394,3816,49646014,133186
1,2021-03-06,CA,418,1221.0,3497578,4452,49512828,218325
2,2021-03-05,CA,400,1236.0,3493126,4659,49294503,146818
3,2021-03-04,CA,273,1327.0,3488467,3504,49147685,119637
4,2021-03-03,CA,278,1403.0,3484963,3352,49028048,130858
5,2021-03-02,CA,303,1452.0,3481611,2533,48897190,184514
6,2021-03-01,CA,215,1518.0,3479078,3516,48712676,243570
7,2021-02-28,CA,158,1585.0,3475562,4685,48469106,249616
8,2021-02-27,CA,439,1651.0,3470877,5151,48219490,223914
9,2021-02-26,CA,391,1725.0,3465726,5400,47995576,181416
10,2021-02-25,CA,1114,1783.0,3460326,4965,47814160,161988
11,2021-02-24,CA,314,1842.0,3455361,5303,47652172,138805
12,2021-02-23,CA,225,1898.0,3450058,3447,47513367,192565
13,2021-02-22,CA,233,2010.0,3446611,4665,47320802,277454
14,2021-02-21,CA,280,2073.0,3441946,6760,47043348,229472
15,2021-02-20,CA,481,2168.0,3435186,6668,46813876,192222
16,2021-02-19,CA,420,2291.0,3428518,6798,46621654,117399
17,2021-02-18,CA,417,2427.0,3421720,5573,46504255,119323
18,2021-02-17,CA,400,2533.0,3416147,4090,46384932,157207
19,2021-02-16,CA,64,2604.0,3412057,5692,46227725,263598
20,2021-02-15,CA,200,2650.0,3406365,6487,45964127,260910
21,2021-02-14,CA,408,2733.0,3399878,8842,45703217,291580
22,2021-02-13,CA,433,2808.0,3391036,9421,45411637,286196
23,2021-02-12,CA,546,2930.0,3381615,10059,45125441,201460
24,2021-02-11,CA,461,2996.0,3371556,8575,44923981,153380
25,2021-02-10,CA,518,3127.0,3362981,8390,44770601,187297
26,2021-02-09,CA,327,3264.0,3354591,8251,44583304,259754
27,2021-02-08,CA,208,3313.0,3346340,10414,44323550,329228
28,2021-02-07,CA,295,3339.0,3335926,15064,43994322,275167
29,2021-02-06,CA,623,3479.0,3320862,12394,43719155,286051
30,2021-02-05,CA,558,3527.0,3308468,14021,43433104,197777
