Date,New Positives,Cumulative Positives,New Tests,Cumulative Tests,Baseline100,Baseline10000,7-Day Avg. Positives,7-Day Avg. Tests
3/20/2020,3254,10356,13087,45724,100,10000,3254,13087
3/21/2020,4812,15168,16029,61753,100,10000,4033,14558
3/22/2020,5707,20875,16812,78565,100,10000,4591,15309
3/23/2020,4790,25665,12952,91517,100,10000,4641,14720
3/24/2020,5145,30810,12142,103659,100,10000,4742,14204
3/25/2020,6448,37258,18651,122310,100,10000,5026,14946
3/26/2020,7379,44637,16315,138625,100,10000,5362,15141
3/27/2020,7681,52318,17444,156069,100,10000,5995,15764
3/28/2020,7195,59513,16401,172470,100,10000,6335,15817
3/29/2020,6984,66497,14115,186585,100,10000,6517,15431
3/30/2020,9298,75795,18648,205233,100,10000,7161,16245
3/31/2020,7917,83712,15701,220934,100,10000,7557,16754
4/1/2020,8669,92381,18031,238965,100,10000,7875,16665
4/2/2020,10482,102863,21555,260520,100,10000,8318,17414
4/3/2020,10841,113704,23101,283621,100,10000,8769,18222
4/4/2020,8327,122031,18659,302280,100,10000,8931,18544
4/5/2020,8658,130689,18531,320811,100,10000,9170,19175
4/6/2020,8174,138863,19247,340058,100,10000,9010,19261
4/7/2020,10453,149316,25095,365153,100,10000,9372,20603
4/8/2020,10621,159937,26396,391549,100,10000,9651,21798
4/9/2020,10575,170512,26336,417885,100,10000,9664,22481
4/10/2020,9946,180458,23095,440980,100,10000,9536,22480
4/11/2020,8236,188694,20621,461601,100,10000,9523,22760
4/12/2020,6337,195031,16756,478357,100,10000,9192,22507
4/13/2020,7177,202208,20786,499143,100,10000,9049,22726
4/14/2020,11571,213779,26869,526012,100,10000,9209,22980
4/15/2020,8505,222284,24567,550579,100,10000,8907,22719
4/16/2020,7358,229642,22644,573223,100,10000,8447,22191
4/17/2020,7090,236732,23339,596562,100,10000,8039,22226
4/18/2020,6054,242786,20993,617555,100,10000,7727,22279
4/19/2020,4726,247512,16306,633861,100,10000,7497,22215
4/20/2020,4178,251690,15464,649325,100,10000,7069,21455
4/21/2020,5526,257216,20657,669982,100,10000,6205,20567
4/22/2020,6244,263460,25938,695920,100,10000,5882,20763
4/23/2020,8130,271590,34736,730656,100,10000,5993,22490
4/24/2020,10553,282143,46912,777568,100,10000,6487,25858
4/25/2020,5902,288045,27782,805350,100,10000,6466,26828
4/26/2020,3951,291996,20745,826095,100,10000,6355,27462
4/27/2020,3110,295106,18899,844994,100,10000,6202,27953
4/28/2020,4585,299691,27487,872481,100,10000,6068,28928
4/29/2020,4681,304372,28155,900636,100,10000,5845,29245
4/30/2020,3942,308314,26802,927438,100,10000,5246,28112
5/1/2020,4663,312977,31579,959017,100,10000,4405,25921
5/2/2020,3438,316415,26894,985911,100,10000,4053,25794
5/3/2020,2538,318953,21399,1007310,100,10000,3851,25888
5/4/2020,2239,321192,21589,1028899,100,10000,3727,26272
5/5/2020,2786,323978,27022,1055921,100,10000,3470,26206
5/6/2020,3491,327469,33995,1089916,100,10000,3300,27040
5/7/2020,2938,330407,31627,1121543,100,10000,3156,27729
5/8/2020,2715,333122,32225,1153768,100,10000,2878,27822
5/9/2020,2273,335395,29230,1182998,100,10000,2711,28155
5/10/2020,1660,337055,21652,1204650,100,10000,2586,28191
5/11/2020,1430,338485,20463,1225113,100,10000,2470,28031
5/12/2020,2176,340661,33794,1258907,100,10000,2383,28998
5/13/2020,2390,343051,39850,1298757,100,10000,2226,29834
5/14/2020,2762,345813,39291,1338048,100,10000,2201,30929
5/15/2020,2419,348232,40669,1378717,100,10000,2159,32136
5/16/2020,1889,350121,34679,1413396,100,10000,2104,32914
5/17/2020,1250,351371,26161,1439557,100,10000,2045,33558
5/18/2020,1474,352845,28182,1467739,100,10000,2051,34661
5/19/2020,1525,354370,38097,1505836,100,10000,1958,35276
5/20/2020,2088,356458,49219,1555055,100,10000,1915,36614
5/21/2020,1696,358154,45738,1600793,100,10000,1763,37535
5/22/2020,1772,359926,51268,1652061,100,10000,1671,39049
5/23/2020,1589,361515,47765,1699826,100,10000,1628,40919
5/24/2020,1249,362764,39623,1739449,100,10000,1628,42842
5/25/2020,1072,363836,34679,1774128,100,10000,1570,43770
5/26/2020,1129,364965,37416,1811544,100,10000,1514,43673
5/27/2020,1768,366733,65245,1876789,100,10000,1468,45962
5/28/2020,1551,368284,67341,1944130,100,10000,1447,49048
5/29/2020,1376,369660,61251,2005381,100,10000,1391,50474
5/30/2020,1110,370770,58444,2063825,100,10000,1322,52000
5/31/2020,941,371711,49952,2113777,100,10000,1278,53475
6/1/2020,1329,373040,54054,2167831,100,10000,1315,56243
6/2/2020,1045,374085,61642,2229473,100,10000,1303,59704
6/3/2020,1048,375133,63559,2293032,100,10000,1200,59463
6/4/2020,1075,376208,66480,2359512,100,10000,1132,59340
6/5/2020,1108,377316,77895,2437407,100,10000,1094,61718
6/6/2020,781,378097,60435,2497842,100,10000,1047,62002
6/7/2020,702,378799,58054,2555896,100,10000,1013,63160
6/8/2020,683,379482,49973,2605869,100,10000,920,62577
6/9/2020,674,380156,62297,2668166,100,10000,867,62670
6/10/2020,736,380892,60839,2729005,100,10000,823,62282
6/11/2020,822,381714,72395,2801400,100,10000,787,63127
6/12/2020,916,382630,70840,2872240,100,10000,759,62119
6/13/2020,694,383324,62359,2934599,100,10000,747,62394
6/14/2020,620,383944,56611,2991210,100,10000,735,62188
6/15/2020,631,384575,60568,3051778,100,10000,728,63701
6/16/2020,567,385142,59341,3111119,100,10000,712,63279
6/17/2020,618,385760,68541,3179660,100,10000,695,64379
6/18/2020,796,386556,79303,3258963,100,10000,692,65366
6/19/2020,716,387272,68830,3327793,100,10000,663,65079
6/20/2020,664,387936,67526,3395319,100,10000,659,65817
6/21/2020,552,388488,56780,3452099,100,10000,649,65841
6/22/2020,597,389085,48709,3500808,100,10000,644,64147
6/23/2020,581,389666,51144,3551952,100,10000,646,62976
6/24/2020,749,390415,67642,3619594,100,10000,665,62848
6/25/2020,805,391220,61723,3681317,100,10000,666,60336
6/26/2020,703,391923,73262,3754579,100,10000,664,60969
6/27/2020,616,392539,61906,3816485,100,10000,658,60167
