,date,state,deaths,Icu hospitalized,positive cases viral,positive increase,test results total,test increase
0,2021-03-07,NY,59,999.0,,6789,39695100,227768
1,2021-03-06,NY,79,1012.0,,7647,39467332,273132
2,2021-03-05,NY,95,1030.0,,8956,39194200,296935
3,2021-03-04,NY,61,1043.0,,7593,38897265,270089
4,2021-03-03,NY,75,1047.0,,7704,38627176,218069
5,2021-03-02,NY,83,1076.0,,5800,38409107,128034
6,2021-03-01,NY,80,1065.0,,6235,38281073,174158
7,2021-02-28,NY,90,1083.0,,7580,38106915,273720
8,2021-02-27,NY,86,1121.0,,8141,37833195,285307
9,2021-02-26,NY,94,1132.0,,8204,37547888,291189
10,2021-02-25,NY,92,1124.0,,8746,37256699,278942
11,2021-02-24,NY,104,1154.0,,6189,36977757,216813
12,2021-02-23,NY,90,1176.0,,6654,36760944,157333
13,2021-02-22,NY,90,1148.0,,6146,36603611,142019
14,2021-02-21,NY,75,1162.0,,6610,36461592,221157
15,2021-02-20,NY,101,1162.0,,7692,36240435,251645
16,2021-02-19,NY,119,1199.0,,8710,35988790,249248
17,2021-02-18,NY,116,1258.0,,6794,35739542,215731
18,2021-02-17,NY,112,1273.0,,6092,35523811,169963
19,2021-02-16,NY,107,1271.0,,6753,35353848,136392
20,2021-02-15,NY,103,1270.0,,6365,35217456,180504
21,2021-02-14,NY,109,1285.0,,8316,35036952,234708
22,2021-02-13,NY,127,1328.0,,8763,34802244,253563
23,2021-02-12,NY,139,1358.0,,8404,34548681,237134
24,2021-02-11,NY,124,1402.0,,10099,34311547,285499
25,2021-02-10,NY,138,1423.0,,7101,34026048,176750
26,2021-02-09,NY,142,1412.0,,7866,33849298,153648
27,2021-02-08,NY,115,1454.0,,8448,33695650,197183
28,2021-02-07,NY,145,1459.0,,10025,33498467,250892
29,2021-02-06,NY,159,1481.0,,11252,33247575,261285
30,2021-02-05,NY,153,1516.0,,8777,32986290,203627
31,2021-02-04,NY,136,1506.0,,7414,32782663,169186
32,2021-02-03,NY,165,1522.0,,5925,32613477,126489
33,2021-02-02,NY,147,1503.0,,8215,32486988,150199
34,2021-02-01,NY,141,1500.0,,8508,32336789,175038
35,2021-01-31,NY,142,1534.0,,10793,32161751,243066
36,2021-01-30,NY,143,1551.0,,12804,31918685,269350
37,2021-01-29,NY,151,1543.0,,12579,31649335,270518
38,2021-01-28,NY,163,1584.0,,13398,31378817,250668
39,2021-01-27,NY,172,1558.0,,11028,31128149,202661
40,2021-01-26,NY,165,1544.0,,11064,30925488,162938
41,2021-01-25,NY,173,1522.0,,12003,30762550,219538
42,2021-01-24,NY,162,1527.0,,12720,30543012,249955
43,2021-01-23,NY,144,1562.0,,13786,30293057,262106
44,2021-01-22,NY,169,1546.0,,15144,30030951,268001
45,2021-01-21,NY,179,1560.0,,13886,29762950,224569
46,2021-01-20,NY,191,1621.0,,13364,29538381,195409
